Kay Felder,PG,CLE,0.318,166
Cristiano Felicio,C,CHI,,316
Raymond Felton,PG,LAC,0.319,538
Yogi Ferrell,PG,TOT,0.386,462
Dorian Finney-Smith,PF,DAL,0.293,350
Bryn Forbes,SG,SAS,0.321,94
Evan Fournier,SG,ORL,0.356,1167
Randy Foye,SG,BRK,0.33,357
Tim Frazier,PG,NOP,0.313,464
Channing Frye,C,CLE,0.409,676
Danilo Gallinari,SF,DEN,0.389,1145
Langston Galloway,PG,TOT,0.39,585
Patricio Garino,SG,ORL,0,0
Marc Gasol,C,MEM,0.388,1446
Pau Gasol,C,SAS,0.538,792
Rudy Gay,SF,SAC,0.372,562
Michael Gbinije,SG,DET,0,4
Alonzo Gee,SF,DEN,0,11
Paul George,SF,IND,0.393,1775
Marcus Georges-Hunt,SG,ORL,0.5,14
Jonathan Gibson,PG,DAL,0.333,106
Taj Gibson,PF,TOT,0.231,846
Manu Ginobili,SG,SAS,0.392,517
Rudy Gobert,C,UTA,0,1137
Archie Goodwin,SG,TOT,0.333,110
Aaron Gordon,SF,ORL,0.288,1019
Eric Gordon,SG,HOU,0.372,1217
Marcin Gortat,C,WAS,0,883
Treveon Graham,SG,CHO,0.6,57
Jerami Grant,SF,TOT,0.371,437
Jerian Grant,PG,CHI,0.366,370
Danny Green,SG,SAS,0.379,497
Draymond Green,PF,GSW,0.308,776
Gerald Green,SF,BOS,0.351,262
JaMychal Green,PF,MEM,0.379,689
Jeff Green,PF,ORL,0.275,638
Blake Griffin,PF,LAC,0.336,1316
Justin Hamilton,C,BRK,0.304,442
A.J. Hammons,C,DAL,0.5,48
Tim Hardaway,SG,ATL,0.357,1143
James Harden,PG,HOU,0.347,2356
Maurice Harkless,SF,POR,0.351,773
Justin Harper,PF,PHI,0.286,12
Montrezl Harrell,C,HOU,0.143,527
Devin Harris,PG,DAL,0.328,437
Gary Harris,SG,DEN,0.42,851
Joe Harris,SG,BRK,0.385,428
Manny Harris,SG,DAL,0,8
Tobias Harris,PF,DET,0.347,1321
Aaron Harrison,SG,CHO,0,1
Andrew Harrison,PG,MEM,0.276,425
Udonis Haslem,C,MIA,0,31
Spencer Hawes,PF,TOT,0.309,337
Gordon Hayward,SF,UTA,0.398,1601
Gerald Henderson,SG,PHI,0.353,662
John Henson,C,MIL,0,392
Juan Hernangomez,PF,DEN,0.407,305
Willy Hernangomez,C,NYK,0.267,587
Mario Hezonja,SF,ORL,0.299,317
Roy Hibbert,C,TOT,,221
Buddy Hield,SG,TOT,0.391,866
Nene Hilario,C,HOU,0.333,609
George Hill,PG,UTA,0.403,829
Jordan Hill,C,MIN,,12
Solomon Hill,SF,NOP,0.348,563
Darrun Hilliard,SG,DET,0.261,127
Jrue Holiday,PG,NOP,0.356,1029
Justin Holiday,SG,NYK,0.355,629
Rondae Hollis-Jefferson,SF,BRK,0.224,675
Richaun Holmes,C,PHI,0.351,559
Rodney Hood,SG,UTA,0.371,748
Al Horford,C,BOS,0.355,952
Danuel House,SG,WAS,,0
Dwight Howard,C,ATL,0,1002
Marcelo Huertas,PG,LAL,0.211,63
Josh Huestis,PF,OKC,0.5,14
Kris Humphries,PF,ATL,0.352,257
R.J. Hunter,SG,CHI,0,0
Serge Ibaka,PF,TOT,0.391,1173
Andre Iguodala,SF,GSW,0.362,574
Ersan Ilyasova,PF,TOT,0.353,1071
Joe Ingles,SF,UTA,0.441,581
Brandon Ingram,SF,LAL,0.294,740
Kyrie Irving,PG,CLE,0.401,1816
Jarrett Jack,PG,NOP,0,6
Demetrius Jackson,PG,BOS,1,10
Pierre Jackson,PG,DAL,0.273,35
Reggie Jackson,PG,DET,0.359,752
LeBron James,SF,CLE,0.363,1954
Al Jefferson,C,IND,0,535
Richard Jefferson,SF,CLE,0.333,448
John Jenkins,SG,PHO,0.5,7
Brandon Jennings,PG,TOT,0.313,577
Jonas Jerebko,PF,BOS,0.346,299
Amir Johnson,PF,BOS,0.409,520
Brice Johnson,PF,LAC,,4
James Johnson,PF,MIA,0.34,975
Joe Johnson,SF,UTA,0.411,715
Stanley Johnson,SF,DET,0.292,339
Tyler Johnson,PG,MIA,0.372,1002
Wesley Johnson,SF,LAC,0.246,186
Nikola Jokic,C,DEN,0.324,1221
Dahntay Jones,SF,CLE,0,9
Damian Jones,C,GSW,,19
Derrick Jones,SF,PHO,0.273,168
James Jones,SF,CLE,0.47,132
Terrence Jones,PF,TOT,0.253,584
Tyus Jones,PG,MIN,0.356,209
DeAndre Jordan,C,LAC,0,1029
Cory Joseph,SG,TOR,0.356,740
Frank Kaminsky,C,CHO,0.328,874
Enes Kanter,C,OKC,0.132,1033
Ryan Kelly,PF,ATL,0.4,25
Michael Kidd-Gilchrist,SF,CHO,0.111,743
Sean Kilpatrick,SG,BRK,0.341,919
Brandon Knight,SG,PHO,0.324,595
Kyle Korver,SG,TOT,0.451,678
Kosta Koufos,C,SAC,0,470
Mindaugas Kuzminskas,SF,NYK,0.321,425
Skal Labissiere,PF,SAC,0.375,289
Jeremy Lamb,SG,CHO,0.281,603
Nicolas Laprovittola,PG,SAS,0.37,59
Joffrey Lauvergne,PF-C,TOT,0.337,375
Zach LaVine,SG,MIN,0.387,889
Ty Lawson,PG,SAC,0.288,681
Jake Layman,SF,POR,0.255,78
Courtney Lee,SG,NYK,0.401,835
David Lee,PF,SAS,,576
Alex Len,C,PHO,0.25,613
Kawhi Leonard,SF,SAS,0.381,1888
Meyers Leonard,PF,POR,0.347,401
Jon Leuer,PF,DET,0.293,767
Caris LeVert,SF,BRK,0.321,468
DeAndre Liggins,SG,TOT,0.37,152
Damian Lillard,PG,POR,0.37,2024
Jeremy Lin,PG,BRK,0.372,523
Shaun Livingston,PG,GSW,0.333,389
Shawn Long,C,PHI,0.368,148
Kevon Looney,C,GSW,0.222,135
Brook Lopez,C,BRK,0.346,1539
Robin Lopez,C,CHI,0,839
Kevin Love,PF,CLE,0.373,1142
Kyle Lowry,PG,TOR,0.412,1344
John Lucas,PG,MIN,0,2
Timothe Luwawu-Cabarrot,SF,PHI,0.311,445
Trey Lyles,PF,UTA,0.319,440
Shelvin Mack,PG,UTA,0.308,430
Ian Mahinmi,C,WAS,,173
Thon Maker,C,MIL,0.378,226
Boban Marjanovic,C,DET,,191
Jarell Martin,PF,MEM,0.36,165
Wesley Matthews,SG,DAL,0.363,986
Luc Mbah,SF,LAC,0.391,484
James Michael,PF,GSW,0.25,147
Patrick McCaw,SG,GSW,0.333,282
Sheldon McClellan,SG,WAS,0.233,90
C.J. McCollum,SG,POR,0.42,1837
T.J. McConnell,PG,PHI,0.2,556
Chris McCullough,PF,TOT,0.143,36
K.J. McDaniels,SF,TOT,0.303,206
Doug McDermott,SF,TOT,0.372,592
JaVale McGee,C,GSW,0,472
Rodney McGruder,SG,MIA,0.332,497
Ben McLemore,SG,SAC,0.382,495
Jordan McRae,SG,CLE,0.353,161
Josh McRoberts,PF,MIA,0.419,107
Jodie Meeks,SG,ORL,0.409,327
Salah Mejri,C,DAL,0.333,213
Jordan Mickey,PF,BOS,0,38
Khris Middleton,SF,MIL,0.433,426
C.J. Miles,SF,IND,0.413,815
Mike Miller,SF,DEN,0.4,28
Patty Mills,PG,SAS,0.413,759
Elijah Millsap,SG,PHO,0,3
Paul Millsap,PF,ATL,0.311,1246
Nikola Mirotic,PF,CHI,0.342,744
Greg Monroe,C,MIL,0,951
E'Twaun Moore,SG,NOP,0.37,700
Marcus Morris,SF,DET,0.331,1105
Markieff Morris,PF,WAS,0.362,1063
Anthony Morrow,SG,TOT,0.308,271
Donatas Motiejunas,PF,NOP,0.234,150
Timofey Mozgov,C,LAL,0,401
Emmanuel Mudiay,PG,DEN,0.315,603
Shabazz Muhammad,SF,MIN,0.336,772
Dejounte Murray,PG,SAS,0.391,130
Jamal Murray,SG,DEN,0.334,811
Mike Muscala,C,ATL,0.418,435
Larry Nance,PF,LAL,0.278,449
